Typical Activity	Reaction	Abilities	For	Against	Categories	Qualities	so	and	but
stealing human fat	hate, criticize, dislike	steal, rob, steal from	human fat, fat cells, liposuction, 		thief	devious, thieving		abet	steal_from, are_robbed_by
stealing hamburgers	criticize, dislike	steal, rob, steal from	hamburgers, fast food, cheeseburgers		hamburger thief, thief	thieving		abet	steal_from, are_robbed_by
stealing jewels	criticize, dislike	steal, rob, steal from, crack safes, pick locks	jewel heists, jewels, diamonds, emeralds, sapphires, rubies, baubles, gems, gemstones, precious stones, jewelry, jewellry	security systems, security guards	jewel thief, thief	thieving, nimble-fingered	conspire_with, collude_with	abet	steal_from, are_robbed_by
stealing lunch money	hate, criticize, dislike, denounce, renounce	steal, rob, steal from, starve	bullying, lunch money, jocks	wimps, sissies, wusses, losers	bully, school bully, schoolbully, schoolyard bully, school yard bully, jerk	bullying, intimidating, threatening, menacing, greedy		abet, 	steal_from, are_robbed_by, are_bullied_by
striving for world domination	fear, resent, distrust, dislike	conspire with, conspire, strive, scheme, 	world domination, egomania, megalomania, villainy, power, domination, armageddon	superheroes, heroism, 	megalomaniac, supervillain, super villain	megalomaniacal, villainous	conspire_with, collude_with	are_molded_by	are_overshadowed_by
struggling with modern times	sympathize_with, identify_with	struggle, struggle with, 	nostalgia, past times, olden days, simpler times, yesteryear, memory lane	modern times, modern life, the modern world, brave new world, technology	nonconformist, non-conformist	nostalgic, struggling, unconformist, unconforming, 	seek_sympathy_from	struggle_with	
studying computability	admire	study, study under, study with	computability, computing power, complexity theory, mathematics, 	incompleteness, undecidability	computer scientist, mathematician, theorist, computationalist	geeky, mathematical	learn_from, study_under, look_up_to	read_the_works_of, are_inspired_by	lose_faith_in, fail_to_impress, are_evaluated_by
studying dinosaurs	admire, respect	study, study under, study with, dig up, dust off, excavate	dinosaurs, paleontology, paleontologists, fossils, palaeontology, palaeontologists, paleobiology, palaeobiology, jurassic parks, jurassic era, jurassic age, natural history		paleontologist, paleobiologist, palaeontologist, palaeobiologist, bone collector, fossil collector, bone kicker	nerdy, geeky	learn_from, study_under, look_up_to	read_the_works_of, are_inspired_by	lose_faith_in, fail_to_impress, are_evaluated_by
studying economics	admire, respect	study, study under, study with	economies, productivity, monetarism, economic theory, economic models, market dynamics, economics, economists		economist, economical theorist	economical	learn_from, study_under, look_up_to	read_the_works_of, are_inspired_by	lose_faith_in, fail_to_impress, are_evaluated_by
studying genetics	admire, respect	study, study under, study with, experiment, experiment on	genetics, genetic engineering, genetic science, human genome project, DNA, chromosomes, designer babies, gene editing,	intelligent design, creationism, Adam and Eve, the Garden of Eden	geneticist, genetic engineer		learn_from, study_under, look_up_to	read_the_works_of, are_inspired_by	lose_faith_in, fail_to_impress, are_evaluated_by
studying gorillas up close	admire, respect	study, study under, study with, communicate, communicate with	gorillas, apes, great apes, simians, silverbacks, animal communication, grooming	poachers, poaching	anthropologist, simian anthropologist, simian biologist	primitive, brave	learn_from, study_under, look_up_to	read_the_works_of, are_inspired_by	lose_faith_in, fail_to_impress, are_evaluated_by
studying icons	admire, respect	study, study under, study with	iconography, symbology, symbols, icons, iconographers, art history		iconographer, art theorist, symbolist	analytical, symbolic 	learn_from, study_under, look_up_to	read_the_works_of, are_inspired_by	lose_faith_in, fail_to_impress, are_evaluated_by
studying linguistics	admire, respect	study, study under, study with, translate, translate for	linguistics, languages, grammars, lexicons, parsers, grammar rules, corpora, morphology, semantics		linguist, language theorist	erudite, expressive, eloquent	learn_from, study_under, look_up_to	read_the_works_of, are_inspired_by	lose_faith_in, fail_to_impress, are_evaluated_by
studying magic	question	train under, study under, learn, learn from, master, perform, mystify, research	magic, stagecraft, conjuring, witchcraft, spellcasting, sorcery, necromancy, hocus pocus	science	magician, mage, wizard, sorceror, necromancer, witch, warlock	magical, superstitious, spiritual, mystifying, mystical, esoteric	learn_from, study_under, look_up_to	read_the_works_of, are_inspired_by	lose_faith_in, fail_to_impress, are_evaluated_by
studying magic tricks	question	train under, study under, learn, learn from, master, perform, mystify	magic, stagecraft, conjuring, sleight of hand, sleights of hand, card tricks, coin tricks, disappearing rabbits, magic wands, abracadabra, prestidigitation, hocus pocus		magician, stage magician, conjuror	skillful, dextrous, skilled	learn_from, study_under, look_up_to	read_the_works_of, are_inspired_by	lose_faith_in, fail_to_impress, are_evaluated_by
studying mathematics	admire, respect	prove, study under, learn, learn from, master, formulate	mathematics, math, maths, theorems, theorem proving, geometry, arithmetic, numeracy	innumeracy	mathematician	mathematical, numerate, clever, brilliant, nerdy	learn_from, study_under, look_up_to	read_the_works_of, are_inspired_by	lose_faith_in, fail_to_impress, are_evaluated_by
studying paleontology	admire, respect	study, study under, learn, learn from, dust off, dig up, excavate	dinosaurs, paleontology, paleontologists, fossils, palaeontology, palaeontologists, paleobiology, palaeobiology, jurassic park, jurassic era, jurassic age, natural history		paleontologist, paleobiologist, palaeontologist, palaeobiologist, bone collector, fossil collector, bone kicker	dusty, fossilized, fossilised	learn_from, study_under, look_up_to	read_the_works_of, are_inspired_by	lose_faith_in, fail_to_impress, are_evaluated_by
studying science	admire, respect	study, study under, learn, learn from, experiment, experiment on, 	science, the scientific method, rationality, logic, physics, astronomy, chemistry, biology, genetics, scientists, experiments, experimentation	superstition, irrationality, pseudoscience, alchemy	scientist, science guy	preachy, scientific	learn_from, study_under, look_up_to	read_the_works_of, are_inspired_by	lose_faith_in, fail_to_impress, are_evaluated_by
studying symbols	admire, respect	study, study under, learn, learn from, symbolize, interpret, deconstruct	symbols, symbology, icons, iconography, 		symbolist, iconographer	analytical, symbolic 	learn_from, study_under, look_up_to	read_the_works_of, are_inspired_by	lose_faith_in, fail_to_impress, are_evaluated_by
studying the cosmos	admire, respect	study, study under, learn, learn from, 	the universe, the cosmos, stars, galaxies, blackholes, black holes, quasars, pulsars, the big bang	superstition, irrationality, pseudoscience, alchemy	cosmologist, physicist, scientist, astrophyicist	cosmic, scientific, probing	learn_from, study_under, look_up_to	read_the_works_of, are_inspired_by	lose_faith_in, fail_to_impress, are_evaluated_by
subverting social conventions	defend, forgive, admire, respect	subvert, violate, transgress, break the rules, act out	subversion, iconoclasm, acting out, nonconformity, 	social norms, social conventions, conformity, orthodoxy, rules, social expectations	iconoclast, nonconformist, non-conformist, rule breaker, rulebreaker	unorthodox, unconventional, subversive, iconoclastic		are_inspired_by	are_undermined_by, copy, imitate, mimic
sucking blood	hate, despise, condemn, denounce	suck, drain,  live off, exploit, take advantage of	blood, vampirism	silver bullets, garlic, holy water, holy oil, crucifixes	vampire, bloodsucker, blood sucker, parasite, leech	bloodsucking, parasitic, vampiric	are_corrupted_by	drink_with	are_bitten_by
suing large corporations	sympathize_with, identify_with, support, defend	sue, 	consumer protection, consumer rights,	big business, corporate America, conglomerates, too big to fail, capitalism, big oil, consumerism, globalization, globalisation, deregulation, monopolies	anti-capitalist, anticapitalist, giant killer, giant slayer	litigious, anti-capitalist, anticapitalist		are_represented_by	are_sued_by
suppressing minorities	dislike, despise, distrust, curse	oppress, suppress, bully, hold back	oppression, white supremacy, white power, bigotry, racism, majority rule	minorities, minority rights, race relations, 	bigot, racist, oppressor, supremacist	bigoted, racist, oppressive, suppressive, 	threaten_with,  intimidate_with, are_recruited_by	are_deployed_by	
suppressing violent urges	sympathize_with, identify_with	fume, struggle, vent	volatility, mood swings, repression, hair triggers	violence, anger, rage, 	ticking time bomb, ticking timebomb, timebomb, time bomb	angry, volatile, explosive, raging, repressed		confide_in, confess_to	are_offended_by
waxing a surfboard	ignore	wax, polish, surf	surfing, surfers, surfing wax, big waves, surf, beaches		surfer, surf dude	laidback, laid-back, mellow, cool, relaxed	compete_with		compete_against
surviving a shipwreck	admire, respect, 	survive, live through, keep going, stay alive	desert islands, life boats, lifeboats, life jackets, homemade rafts	shipwrecks, 	survivor, castaway	fortunate, determined, tenacious, resilient	share_stories_with	are_saved_by, are_rescued_by, are_found_by	
surviving fatwas	admire, respect, sympathize_with, identify_with	survive, live through, keep going, stay alive, blaspheme	blasphemy, heresy, atheism, apostasy, free speech, safe spaces	fatwas, intolerance, fundamentalism, extremism, dogma, religious oppression, theocrats, theocracy, , fanatics, fanaticism	apostate, infidel, blasphemer, heretic	nervous, jumpy, blasphemous, heretical, irreligious, on edge	seek_sympathy_from	are_protected_by	are_denounced_by, are_excommunicated_by, hide_from
surviving in a post-apocalyptic world	feel_sorry_for, pity	survive, live through, keep going, stay alive	survival, survivalism, resourcefulness	armageddon, end of the world, doomsday, apocalypses	survivor, survivalist	tough, resilient, resourceful, rugged	are_mentored_by	are_saved_by, are_rescued_by, are_found_by	
surviving in the 25th century	admire	survive, live through, keep going, stay alive	nostalgia, past times, olden days, simpler times, yesteryear, memory lane	modern times, modern life, the modern world, brave new world	survivor, fish out of water	tough, resilient	are_mentored_by	seek_advice_from	
communicating with animals	admire, respect	communicate with, signal to, understand, translate, speak, talk, talk to, talk with	animals, animal spirits,  animal kingdom, multilingualism, animal communication, animal sounds		animal communicator, animal lover	insightful, communicative, expressive	learn_from, study_under, look_up_to	chat_with	are_bitten_by, are_savaged_by
eating bugs	dislike	eat, survive, subsist, keep going, find food	survival, survivalism, resourcefulness, bugs, insects, insect protein, creepy crawlies	hunger, starvation	bug eater, survivalist	desperate, resilient, tough	cook_for		are_disgusted_by, disgust
licking frogs	dislike	lick, slurp	survival, survivalism, resourcefulness, frogs, 	toads	survivalist, jungle dweller	desperate, resilient, tough	cook_for		are_disgusted_by, disgust
sucking roots	dislike	suck, survive, subsist, keep going, find food	survival, survivalism, resourcefulness, plant roots	hunger, starvation	survivalist	desperate, resilient, tough	cook_for		are_disgusted_by, disgust
surviving large-scale floods	admire, respect	float, survive, subsist, keep going, find food	survival, survivalism, resourcefulness	flooding, floods, tidal waves, deluges, tsunami	survivalist, survivor	resilient, tough		are_saved_by, are_rescued_by, are_found_by	are_abandoned_by
